DATA INICIAL;DATA FINAL;ESTADO;MUNICÍPIO;PRODUTO;NÚMERO DE POSTOS PESQUISADOS;UNIDADE DE MEDIDA;PREÇO MÉDIO REVENDA;DESVIO PADRÃO REVENDA;PREÇO MÍNIMO REVENDA;PREÇO MÁXIMO REVENDA;COEF DE VARIAÇÃO REVENDA
2023-11-05;2023-11-11;PARAIBA;JOAO PESSOA;GNV;3;R$/m³;4.46;0.0;4.46;4.46;0.0
2023-11-05;2023-11-11;ALAGOAS;MACEIO;GNV;5;R$/m³;4.71;0.044721359549995794;4.69;4.79;0.009
2023-11-05;2023-11-11;AMAZONAS;MANAUS;GNV;1;R$/m³;4.49;0.0;4.49;4.49;0.0
2023-11-05;2023-11-11;RIO GRANDE DO NORTE;NATAL;GNV;5;R$/m³;4.78;0.005477225575051661;4.78;4.79;0.001
2023-11-05;2023-11-11;RIO GRANDE DO SUL;PORTO ALEGRE;GNV;7;R$/m³;4.2;0.12662279942148386;4.06;4.39;0.03
2023-11-05;2023-11-11;PERNAMBUCO;RECIFE;GNV;3;R$/m³;4.24;0.0;4.24;4.24;0.0
2023-11-05;2023-11-11;RIO DE JANEIRO;RIO DE JANEIRO;GNV;40;R$/m³;4.26;0.13070224528705282;3.95;4.59;0.031
2023-11-05;2023-11-11;BAHIA;SALVADOR;GNV;3;R$/m³;3.97;0.005773502691896258;3.97;3.98;0.001
2023-11-05;2023-11-11;SAO PAULO;SAO PAULO;GNV;15;R$/m³;3.96;0.23524657783048064;3.56;4.58;0.059
2023-11-05;2023-11-11;ESPIRITO SANTO;VITORIA;GNV;3;R$/m³;4.79;0.0;4.79;4.79;0.0
2023-11-05;2023-11-11;MINAS GERAIS;BELO HORIZONTE;OLEO DIESEL;2;R$/l;6.04;0.3535533905932738;5.79;6.29;0.059
2023-11-05;2023-11-11;RORAIMA;BOA VISTA;OLEO DIESEL;13;R$/l;6.64;0.05236704777154898;6.59;6.78;0.008
2023-11-05;2023-11-11;DISTRITO FEDERAL;BRASILIA;OLEO DIESEL;20;R$/l;6.13;0.2101446869984683;5.85;6.79;0.034
2023-11-05;2023-11-11;MATO GROSSO DO SUL;CAMPO GRANDE;OLEO DIESEL;3;R$/l;6.28;0.10503967504392488;6.18;6.39;0.017
2023-11-05;2023-11-11;MATO GROSSO;CUIABA;OLEO DIESEL;9;R$/l;6.19;0.27062171219455233;5.86;6.49;0.044
2023-11-05;2023-11-11;PARANA;CURITIBA;OLEO DIESEL;9;R$/l;5.91;0.3825934889380343;5.63;6.89;0.065
2023-11-05;2023-11-11;GOIAS;GOIANIA;OLEO DIESEL;8;R$/l;6.02;0.1995530720671285;5.89;6.39;0.033
2023-11-05;2023-11-11;PARAIBA;JOAO PESSOA;OLEO DIESEL;4;R$/l;5.85;0.10754843869934452;5.75;5.99;0.018
